#607024 - Alt. Hellstar Dragon, Hexazeon
monster size: 5
new AI: True
start/max counter: 15
counter increment: 0
monster_id: 607024
approved: False

level: 1
 type: PREEMPT
 | (22401:119) He's protected from damage by the Augites
     | (22470:83) Transformation + Reduction
     | Change own attribute to random one of Fire, Water, or Wood + RCV 50% for 1 turn, Deal 95% damage
     | condition: 20% chance
     | (22471:83) Transformation + Deprivation
     | Change own attribute to random one of Fire, Water, or Wood + Movetime 50% for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (22472:83) Transformation + Constriction
     | Change own attribute to random one of Fire, Water, or Wood + Lock 15 random orbs, Deal 105% damage
     | condition: 20% chance
     | (22473:83) Transformation + Hexray
     | Change own attribute to random one of Fire, Water, or Wood + Deal 120% damage (6 hits, 20% each), Deal 120% damage (6 hits, 20% each)
 | group:
 | condition: hp <= 1
   | (22422:83) Extermination + Transformation + Catastrophic Infinite Hexray
   | Voids player buff effects + Change own attribute to random one of Fire, Water, or Wood + Deal 3,600% damage (6 hits, 600% each), Deal 3,600% damage (6 hits, 600% each)
 type: UNKNOWN_USE
 | condition: 33% chance
 | (22402:130) Exhaustion
 | ATK -50% for 1 turn
 | condition: 33% chance
 | (22403:105) Reduction
 | RCV 50% for 1 turn
 | condition: 34% chance
 | (22404:39) Deprivation
 | Movetime 50% for 1 turn
 | (22405:20) Protection
 | Voids status ailments for 999 turns
 | condition: 33% chance
 | (22406:130) Exhaustion
 | ATK -50% for 1 turn, Deal 40% damage
 | condition: 33% chance
 | (22407:105) Reduction
 | RCV 50% for 1 turn, Deal 35% damage
 | condition: 34% chance
 | (22408:39) Deprivation
 | Movetime 50% for 1 turn, Deal 38% damage
 | (22679:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 110% damage
 | (22680:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 120% damage
 | (22681:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 125% damage
 | (22682:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 130% damage
 | (22683:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 135% damage
 | (22684:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 140% damage
 | (22685:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 145% damage
 | (22686:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 150% damage
 | (22687:15) Six Skies: Phantasmic Wave of Carnage
 | Deal 1,500% damage
